timestamp,aqi,no,pm2_5,pm10,co,no2,so2,o3,nh3,hour,day,month,weekday,season,pm2_5_pm10_ratio,aqi_rolling_mean_24h,aqi_rolling_max_24h,aqi_above_3_count_24h,aqi_trend
2020-11-25 01:00:00,1,0.0,6.01,9.77,343.8,1.08,0.6,22.53,1.05,1,25,11,2,4,0.6151483505477635,1.0,1.0,0.0,0.0
2020-11-25 02:00:00,1,0.0,5.66,9.2,343.8,1.17,0.69,22.53,1.03,2,25,11,2,4,0.6152173244328997,1.0,1.0,0.0,0.0
2020-11-25 03:00:00,1,0.0,5.28,8.79,337.12,1.24,0.72,22.35,1.05,3,25,11,2,4,0.6006825255196218,1.0,1.0,0.0,0.0
2020-11-25 04:00:00,1,0.0,5.01,8.62,337.12,1.33,0.75,21.99,1.12,4,25,11,2,4,0.5812064290943818,1.0,1.0,0.0,0.0
2020-11-25 05:00:00,1,0.0,5.17,9.16,340.46,1.48,0.81,21.1,1.31,5,25,11,2,4,0.5644104187324871,1.0,1.0,0.0,0.0
2020-11-25 06:00:00,1,0.01,6.78,12.24,380.52,1.99,1.04,19.49,1.98,6,25,11,2,4,0.5539215233724246,1.0,1.0,0.0,0.0
2020-11-25 07:00:00,1,0.04,8.94,16.57,433.92,2.74,1.4,17.7,2.79,7,25,11,2,4,0.539529237204029,1.0,1.0,0.0,0.0
2020-11-25 08:00:00,2,0.18,10.95,20.69,494.0,3.13,1.85,17.35,3.8,8,25,11,2,4,0.5292411537341153,1.125,2.0,0.0,1.0
2020-11-25 09:00:00,2,0.225,12.95,24.65,547.41,3.17,2.27,20.92,5.38,9,25,11,2,4,0.5253549482614626,1.2222222222222223,2.0,0.0,0.0
2020-11-25 10:00:00,2,0.16,10.69,22.71,494.0,2.23,1.77,30.76,4.88,10,25,11,2,4,0.47071772475923707,1.3,2.0,0.0,0.0
2020-11-25 11:00:00,2,0.09,11.92,29.85,487.33,2.01,1.67,35.76,5.0,11,25,11,2,4,0.3993299698716928,1.3636363636363635,2.0,0.0,0.0
2020-11-25 12:00:00,3,0.05,16.13,44.55,500.68,2.23,1.7,38.62,5.26,12,25,11,2,4,0.3620650872712663,1.5,3.0,0.0,1.0
2020-11-25 13:00:00,4,0.03,21.51,61.71,500.68,2.31,1.64,44.35,5.26,13,25,11,2,4,0.34856586698159353,1.6923076923076923,4.0,1.0,1.0
2020-11-25 14:00:00,4,0.02,25.96,72.91,494.0,2.25,1.61,50.78,5.26,14,25,11,2,4,0.3560554058969222,1.8571428571428572,4.0,2.0,0.0
2020-11-25 15:00:00,4,0.02,26.79,73.595,487.33,2.25,1.64,51.5,5.32,15,25,11,2,4,0.3640192898427979,2.0,4.0,3.0,0.0
2020-11-25 16:00:00,4,0.01,23.32,64.2,500.68,2.46,1.76,45.78,5.51,16,25,11,2,4,0.3632398697314662,2.125,4.0,4.0,0.0
2020-11-25 17:00:00,3,0.0,17.63,47.68,480.65,2.25,1.46,37.19,4.88,17,25,11,2,4,0.36975670365443153,2.176470588235294,4.0,4.0,-1.0
2020-11-25 18:00:00,2,0.0,13.55,33.04,427.25,1.71,1.15,31.83,3.64,18,25,11,2,4,0.41010894642527407,2.1666666666666665,4.0,4.0,-1.0
